|                           Parameters |                      0 |                      1 |   2 |                      3 |                      4 |                       5 |   6 |                       7 |                     8 |   9 |  10 |  11 |  12 |  13 |  14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |                      29 |                      30 |                      31 |                      32 |                      33 |                      34 |
|              aEaZD8Bs.spectral.index |     0.2097181228330215 |  8.345071759523925e-14 | 0.0 |  9.978219661544341e-05 | 2.1741890240175893e-05 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|          aEaZD8Bs.spectral.amplitude |  8.345071759523925e-14 |  2.562471490488561e-25 | 0.0 | -6.134023862499107e-16 | -7.186420047816128e-17 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|          aEaZD8Bs.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|               aEaZD8Bs.spatial.lon_0 |  9.978219661544341e-05 | -6.134023862499107e-16 | 0.0 |  0.0006906056065574174 |  4.315653416706093e-07 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|               aEaZD8Bs.spatial.lat_0 | 2.1741890240175893e-05 | -7.186420047816128e-17 | 0.0 |  4.315653416706093e-07 |  0.0005147073516097036 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|       v93Z7gKf-irf.e_reco_model.bias |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |    0.009743412700105408 | 0.0 | -1.5557206050511528e-07 |  9.52300013039325e-12 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
| v93Z7gKf-irf.e_reco_model.resolution |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|           v93Z7gKf-irf.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | -1.5557206050511528e-07 | 0.0 |    0.009876477680084029 | 8.151287502716163e-08 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|           v93Z7gKf-irf.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |    9.52300013039325e-12 | 0.0 |   8.151287502716163e-08 | 0.0003946159925519416 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|      v93Z7gKf-irf.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|          v93Z7gKf-bkg.spectral._norm |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|          v93Z7gKf-bkg.spectral.norm0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|          v93Z7gKf-bkg.spectral.norm1 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|          v93Z7gKf-bkg.spectral.norm2 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|          v93Z7gKf-bkg.spectral.norm3 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |
|          v93Z7gKf-bkg.spectral.norm4 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   2.407873129494067e-07 |  1.7631015826805682e-07 |  -4.285672845765307e-08 |  -8.031341219940668e-09 |  1.8740971024849266e-08 | -1.3326473973992259e-08 |   4.724693057128437e-09 |  1.3798914952820796e-09 |  -3.722796985069671e-09 |   3.239878546132911e-09 | -1.4974094509141005e-09 | -2.0578606490428822e-10 |  1.1700035054447983e-09 | -1.2556943911735453e-09 |   6.803535481220492e-10 |  1.9046132492586457e-10 |  -9.643132451081752e-10 |  1.1922971547054033e-09 |  -4.137074289876156e-11 |  -4.691678660790429e-09 |
|          v93Z7gKf-bkg.spectral.norm5 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.7631015826805682e-07 |   2.631354553023083e-07 |   7.296958318786923e-08 |  -3.446038982206111e-08 |   9.551146883304126e-09 |  2.8629278583563153e-09 |  -6.310236151188407e-09 |   4.898144030495463e-09 | -1.9792732488029354e-09 |  -4.187402309945589e-10 |  1.5350020576785144e-09 | -1.4756212228501577e-09 |    7.46307135085936e-10 |  1.0765250106876879e-10 |  -6.921944314814311e-10 |    8.06500074085772e-10 | -3.9574796380211466e-10 |  -5.085763307510546e-10 |  1.6301136041086998e-09 |   7.958276629898665e-10 |
|          v93Z7gKf-bkg.spectral.norm6 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.285672845765307e-08 |   7.296958318786923e-08 |  1.7597560079860288e-07 |  5.0169898147061654e-08 |  -2.776396522980606e-08 |    9.70737204700151e-09 |  1.0568385253855036e-09 | -5.0619428963485205e-09 |   4.614828321947038e-09 | -2.2830129678618516e-09 |   -2.40355643011226e-11 |  1.3474608215346415e-09 | -1.5364074953256703e-09 |   9.197510934186705e-10 |  1.0537256090905328e-11 |  -7.999601857814541e-10 |  1.0900588317614915e-09 |   -5.46617716362131e-10 | -1.2757153429391625e-09 |  3.1186859818648584e-09 |
|          v93Z7gKf-bkg.spectral.norm7 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -8.031341219940668e-09 |  -3.446038982206111e-08 |  5.0169898147061654e-08 |  1.2772123305782372e-07 |  3.6646775192114426e-08 | -2.1322150756517996e-08 |    7.98721013973626e-09 |   5.561547421295763e-10 |  -4.067994120311857e-09 |   3.938080367485501e-09 | -2.0648789269336092e-09 |  3.5246874456284884e-11 |  1.2367485265461733e-09 | -1.4940146442376218e-09 |   9.244042271099238e-10 |   7.752320124722747e-11 | -1.0603954441985659e-09 |   1.491449673246868e-09 | -3.4285786038081883e-10 |  -5.651266003147852e-09 |
|          v93Z7gKf-bkg.spectral.norm8 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 | 0.0 |                     0.0 |                   0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.8740971024849266e-08 |   9.551146883304126e-09 |  -2.776396522980606e-08 |  3.6646775192114426e-08 |  1.0261755799706294e-07 |  2.8776596695997967e-08 |  -1.771949644403435e-08 |   7.216376320519237e-09 |   7.616287221513166e-11 |  -3.424898084544415e-09 |   3.596356019748008e-09 | -2.0313073871450823e-09 |  1.1457782430064672e-10 |  1.2272188384961257e-09 | -1.6021663125975247e-09 |   1.028884940664528e-09 |  2.3735611752822885e-10 | -1.7667896475219749e-09 |  2.4412867552130963e-09 |   5.173998557723181e-09 |
